epoch,acc,loss,val_acc,val_loss
0,0.0,1.8026244194526984,0.0,1.0658545717437466
1,0.0,0.82802725348352213,0.0,1.0219617643626906
2,0.0,0.77792427192450486,0.0,0.96622461884639499
3,0.0,0.75479445015397095,0.0,0.74481700012974872
4,0.0,0.74324109984875031,0.0,1.0970866933496912
5,0.0,0.72222085586268014,0.0,0.84286306996289362
6,0.0,0.71054370307583148,0.0,1.3312326879011231
7,0.0,0.70828137993111184,0.0,1.1991503476713659
8,0.0,0.70211472697667598,0.0,1.1515592422168821
9,0.0,0.70391533122097882,0.0,1.2505291917977548
